%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1486181135370300958,-0.0,0.0,0.0,0.0,0.0,-0.0
1486181140081886481,1.13406777382,0.0,0.0,0.0,0.0,-0.0
1486181140084413628,1.21658980846,0.0,0.0,0.0,0.0,-0.0
1486181140101024887,1.23715937138,0.0,0.0,0.0,0.0,-0.0
1486181140200879715,1.27842032909,0.0,0.0,0.0,0.0,-0.0
1486181140209077033,1.29905092716,0.0,0.0,0.0,0.0,-0.0
1486181140212671184,1.38151192665,0.0,0.0,0.0,0.0,-0.0
1486181140216650879,1.40214240551,0.0,0.0,0.0,0.0,-0.0
1486181140221396159,1.46397292614,0.0,0.0,0.0,0.0,-0.0
1486181140224771375,1.56706440449,0.0,0.0,0.0,0.0,-0.0
1486181140228178797,1.71141695976,0.0,0.0,0.0,0.0,-0.0
1486181140232889149,1.81450855732,0.0,0.0,0.0,0.0,-0.0
1486181140237702922,1.89696955681,0.0,0.0,0.0,0.0,-0.0
1486181140240865826,2.0,0.0,0.0,0.0,0.0,-0.0
1486181140249043428,2.0,0.0,0.0,0.0,0.0,-0.0
1486181140253276235,2.0,0.0,0.0,0.0,0.0,-0.0
1486181140257491532,2.0,0.0,0.0,0.0,0.0,-0.0
1486181140311358101,2.0,0.0,0.0,0.0,0.0,-0.0
1486181140321393322,2.0,0.0,0.0,0.0,0.0,-0.0
1486181140329753321,2.0,0.0,0.0,0.0,0.0,-0.0
1486181140341091014,1.97949159145,0.0,0.0,0.0,0.0,-0.0
1486181140345008742,1.93823051453,0.0,0.0,0.0,0.0,-0.0
1486181140349909805,1.8763999939,0.0,0.0,0.0,0.0,-0.0
1486181140353117982,1.83513903618,0.0,0.0,0.0,0.0,-0.0
1486181140357084984,1.81450855732,0.0,0.0,0.0,0.0,-0.0
1486181140361620334,1.77330851555,0.0,0.0,0.0,0.0,-0.0
1486181140365580403,1.73204743862,0.0,0.0,0.0,0.0,-0.0
1486181140368919875,1.71141695976,0.0,0.0,0.0,0.0,-0.0
1486181140373002195,1.62895596027,0.0,0.0,0.0,0.0,-0.0
1486181140376929674,1.56706440449,0.0,0.0,0.0,0.0,-0.0
1486181140381026890,1.50523388386,0.0,0.0,0.0,0.0,-0.0
1486181140385695453,1.44340348244,0.0,0.0,0.0,0.0,-0.0
1486181140388923028,1.40214240551,0.0,0.0,0.0,0.0,-0.0
1486181140393141231,1.38151192665,0.0,0.0,0.0,0.0,-0.0
1486181140396855294,1.29905092716,0.0,0.0,0.0,0.0,-0.0
1486181140401047452,1.27842032909,0.0,0.0,0.0,0.0,-0.0
1486181140405971514,1.21658980846,0.0,0.0,0.0,0.0,-0.0
1486181140408855555,1.17532885075,0.0,0.0,0.0,0.0,-0.0
1486181140416750619,1.13406777382,0.0,0.0,0.0,0.0,-0.0
1486181140420781546,1.07223725319,0.0,0.0,0.0,0.0,-0.0
1486181140424950481,1.03097629547,0.0,0.0,0.0,0.0,-0.0
1486181140428784581,1.01034581661,0.0,0.0,0.0,0.0,-0.0
1486181140432871458,0.969145774841,0.0,0.0,0.0,0.0,-0.0
1486181140438468851,0.948515295982,0.0,0.0,0.0,0.0,-0.0
1486181140440464569,0.90725427866,0.0,0.0,0.0,0.0,-0.0
1486181140445136861,0.866054236889,0.0,0.0,0.0,0.0,-0.0
1486181140448686998,0.84542375803,0.0,0.0,0.0,0.0,-0.0
1486181140453044854,0.804162740707,0.0,0.0,0.0,0.0,-0.0
1486181140456831551,0.783532202244,0.0,0.0,0.0,0.0,-0.0
1486181140460546119,0.701071202755,0.0,0.0,0.0,0.0,-0.0
1486181140464950631,0.680440664291,0.0,0.0,0.0,0.0,-0.0
