dt 16.7
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.783532202244 0.96
u 0.783532202244 0.96
u 0.783532202244 0.96
u 0.783532202244 0.96
u 0.783532202244 0.96
u 0.783532202244 0.96
u 0.783532202244 0.96
u 0.783532202244 0.96
u 0.783532202244 0.96
u 0.783532202244 0.96
u 0.783532202244 0.96
u 0.783532202244 0.96
u 0.783532202244 0.96
u 0.783532202244 0.96
u 0.783532202244 0.96
u 0.783532202244 0.96
u 0.783532202244 0.96
u 0.783532202244 0.96
u 0.783532202244 0.96
u 0.783532202244 0.96
u 0.824793219566 0.96
u 0.824793219566 0.96
u 0.824793219566 0.96
u 0.824793219566 0.96
u 0.824793219566 0.96
u 0.824793219566 0.96
u 0.824793219566 0.96
u 0.824793219566 0.96
u 0.824793219566 0.96
u 0.824793219566 0.96
u 0.824793219566 0.96
u 0.824793219566 0.96
u 0.824793219566 0.96
u 0.824793219566 0.96
u 0.824793219566 0.96
u 0.824793219566 0.96
u 0.824793219566 0.96
u 0.824793219566 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.84542375803 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.886684775352 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.927884757519 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.948515295982 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
